Bahnaric,Vietnamese
ơxĭn,nấu nướng
ơxơ̆ng,lượn
ơĭ,có
ơ̆i,có
ơ̆i,nhiêu
ơ̆i,vậy
ơ̆i,đó
ơ̆i,đấy
ơ̆i,ấy
ơ̆i ơ̆i,bộ phận sinh dục
ơ̆i ơ̆i,tiếng ơi ới giục chó đi săn
ơ̆l,nài xin
ơ̆m,muốn
'bum khoai,khoai
ơ̆ng,mùi hăng
ơ̆ng kơrơ̆ng,có mùi hăng
amâng,khoai
ơ̆p,luộc
ơ̆p,luộc xôi
ơ̆p,nấu
ơ̆p,nấu xôi
b`um,khoai
b`um khoai,khoai
bum khoai,khoai
ơ̆r ơ̆r,tiếng nói chuyện
ơ̆t,không tránh khỏi
ơ̆t,nhịn
ơ̆t,nín
ơ̆u,nay
ƀum,khoai
ư,báo
ư,bố mẹ của ông bà
ƀum khoai,khoai
'bunh,khoai
ưh,không
ưih,không chung thủy
ư̆,ừ
ư̆m,âm u
ẽ,một loại thuốc bùa ngãi
'mum,khoai
ẽr,áp
bunh,khoai
mum,khoai
ỡi,cầu xin
ủnh,lừa
'bunh 'bơ̆k,khoai lang
ủnh bong,bóng điện tròn
kumi,khoai mì
bum rơ boa,khoai môn
bum rơ bua,khoai môn
bum rơ riăng,khoai môn
‘mi,mưa
rơbua,khoai môn
trău,khoai môn
khoan,khoản
‘mêm,thương
khoang,khoang
’dak,xíu
"""năm",dần
dang,khoảng
'ba,ba
khoang,khoảng
'ba,bội
'ba,chuồn
kơ plah wah,khoảng cách
khoang cach,khoảng cách
jĭnh măt,khóe
kơ nêng măt,khóe
hơ răng,tẻ
'ba kon drŏ nglo alơ̆p,bố cu
tur kơ ning măt,khóe
'bah,hẹp
tur kơming mat,khóe
'bai,hài
tur măt,khóe
tơm,khóe
cheng măt,khóe
klong măt,khóe
'bal,hai
'nhon,khoeo
'bang,bằng
nhon,khoeo
'bang,thiếu
'nhui,khói
glŭng glăng,khói
'bao,báo
'bao,cái bao
nhui,khói
'bar,nhì
'bar,đôi
'bar hơ bâu,hai ngàn
'bar hơ bŏu,hai ngàn
'bar hơ pou,hai ngàn
'bar jĭt mônh,hai mốt
'bar pêng 'nu,vài
'be,be
'bel,be
'bel,bẻ
'bel,làm
'bet,chích
'bet kơ pô,đâm trâu
ŏl,khói
anhui,khói
'bi,bao bố
'nhui ,khói
'bi,bì
'biao,mượt
'biao,vắt
'biau,trơn
khôi,khối
tơnơm,khóm
hơyuh,không khí
'binh,ắc
hưch,không khí
'biên chi sô̆ gre,biển số xe
'biên chih anăn măt,biển tên
gleng,khớp
'biơ̆,lát
'biơ̆,ít
'biưch hơkŭng,bìu
glŏk,khớp
'blang,gòng
kơting,khớp
'blang,trắng
'blek,nhìn
'blep,đúng
'blep,đắc
'blep,đắn
'blik,kịt
pah lăp,khớp
'bloh,lam
'blĕp,hảo
'blĕp,khăng
'blĭk,ngát
'blŏk,hững
tơgret,khớp xương
'blŏk,đoái
'blơ,tham
'bo,dàng
'boh,chứng
'boh,muôi
'bok,bù
chơneng,khu
kueng,khu
apung,khu
rim,khu
rong,khu
cham pơlei,khu dân cư
plĕi,khu dân cư
'bot,đi
'boy,đi
'brach,rì
'brah,thưa
geng,khu vực
'brang,chói
hơdral,khu vực
'bro,khan tiếng
'broih,khô khan
'brum,lên
apung,khu vực
hiê,khúc
hơh,khúc
'brê,rực
'brê,đỏ lòm
'brê 'br ŭng,đỏ rực
'brêng,trưng
kơlŭt,khúc
'brông,đỏ
'brăng,con sò
'brĕa,đỏ
rơkhẽl,khúc
'brĕu,rực
'brŭng,rực
hih,khúc
'brơh,ấu đả
'brơih,ấu
hơri,khúc
'brơ̆m bei bơ nhŭl,tên thuốc độc
weng,khúc
wĕng,khúc
'brơ̆t,soạt
kơnong,khung
'bu,chôn
'buh,ai
lơng,khung
'buh,men rượu
'buh,nóng
'buh tơ drô,men rượu
'buh tơ ŏu,ai lại
'bum,củ khoai
'bum chrŏu,củ khoai môn
'bum dăng,củ khoai lang
không,khung
'bum rơ kuah,củ riềng
'bung,bung
'buông,cái thìa
'bâl,bở
'bâr,ba
khĭng,khung
adrơ,khuôn
'bâr,vẹt
'bâu,có mùi
'bâu,hăm
'bâu,ngửi
'bâu ôm,thối
hno`ng,khuôn
hnŏng,khuôn
'bôh,chứng
plŭng,khuôn
'bôh,thấy
khuôn,khuôn
'bôm,quá hom
'bônh,cả
adrơ,khuôn mặt
anong măng,khuya
'bă,ba
arê̆ măng,khuya
'bă drŏ kăn,cha vợ
'bă tơmŏm,cha kết nghĩa
'băk kra vat,đeo
'băk tơnam,đeo hạt cườn
'băm,tệ
kơ măng,khuya
'băng,bằng
'băt,biết
'băt,ngọt
kơ măng trŭ,khuya
kơmăng,khuya
kơmăng jrŭ,khuya
'bĕnh,thu
'bĭh,độc
măng klăm,khuya
năr pơtơm lĕk,khuya
hnih,khuya
măng mu,khuya
'bŏu,giác
'bŏu,hôi
'bŏu,ngửi
'bŏu,thối
'bŏu phu,thơm
'bŏu ôm,thối
'bŭ bơngai lôch,an táng
'bŭh,nướng
'bŭh dăr,quay
'bơ,bắt
'bơ,bừa
'bơ,cố
'bơ,không
kung,khuỷu
'bơm,bơm
'bơm,phải
kŏng,khuỷu
kỡl,khuỷu
'bơ̆,bẻ
'bơ̆l,bùi
'bơ̆r,cứng
wong,khuỷu
apach,kì
krăi,kì
plĭnh,kì
'dit,chậm chạp
alâng,kì
'dreng,xanh
anhong,kì
chrih,kì
hlĩch,kì
'dônh,lượm
hlĭch,kì
kơ,kì
'khĕi,đám giỗ
'kơpu,gội
'long,bằng
kơnê̆,kì
kơnễ`,kì
'long hơ vơr plŭng,chèo
ngơkõt,kì đà
ngơkŏt,kì đà
pơm pơ chơt,kịch
'long the gơ̆r,dùi trống
pơma,kịch
'lơ̆ng,đẹp
kich thươk,kích thước
'lơ̆p drŏ nglo,cậu bé
hmuôch,kiến
'mon,lóc
'măi,muốn
hmôch,kiến
'măng mơ̆t,cửa ra vào
hmôch rơng,kiến
'ngiĕo,trái
hmôch truch,kiến
phich,kiến
'ngôch,trọc
hmôch trip,kiến
'nhik,cái
'nhik rơ uơ,cái cày
hơ dơ̆m,kiến
'nhot 'lơ̆ng,tươi
kơ tu,kiến
'nhot hơdrih,tươi
kơnăl,kiến
nâr,kiến
'nâu,này
pơdâng,kiến
roi,kiến
'nŏh,kia
'nŏh,nó
'nŏh,đó
'nŏu,này
kiê̆n,kiến
băt,kiến thức
hmôch,kiến vàng
lơlu,kiết lỵ
'puăn,bốn
'pêng,ba
'yel,láng
'yel,sanh
tơdrong,kiểu
jrũm,kim
'yŏu,sành
'yơ̆m,hiền
'yẽ,nhỏ
jrưm,kim
kim,kim
a,à
a la,dưới
a la kơ hnam,dưới nhà
ning,kim
a năr mônh,ngày mốt
a năr pơgê,lúc sáng
gơhlâu,kim cương
a taih yaih,heo hút
kơhlâu,kim cương
jru ̆ m bet pơgang,kim tiêm
abe ̆n,vái
abe ̆n dro ̆  kăm,váy
abe ̆n dro ̆ kăm,váy
jrŭm 'bet pơgang,kim tiêm
abêk,cười
jrŭm bet pơgang,kim tiêm
abĕn,vái
abĕn drŏ kăm,váy
abŏu,ôc
jrŭm ƀet pơgang,kim tiêm
abŏu dak dơxĭ,ốc biển
abŏu đak dơxĭ,ốc biển
ac hăng hiơt,bỏ quên
achao,cái võng
achô`,bó
achô̆,bó
achô̆ along ŭnh,bó củi
achăng,buông
jên,kinh phí
achăng,bỏ
achăng,bỏ đi
achăng,khoan
achăng,thả
achỗ`,bó
achỗ` along u`nh,bó củi
ad,sống
ada,dưới
adaih,mãi
adaih,xa
adar,nhẹ
adar,nhẹ nhàng
adra,giàn xới
adrach sơdang,dân tộc sê đăng
adraih,dụng có phát ra âm thanh chạy bằng nước để đuổi chim
jên pơm,kinh phí
kinh tê,kinh tế
pha,kỳ
adre`ch,họ
adrih,tươi
adrin,chịu khó
adrin,cố gắng
adrin,lên
adrin,thủ
adro,goá
kơ,kỳ
adrol,nháp
lơ,kỳ
đunh,kỳ
adrô`,đơn độc
ky,kỳ
adrô̆,làm
adrô̆,một mình
adrô̆,đơn độc
adrăl,bất tử
adrăl,tỉnh táo
măng,kỳ
dêh,kỷ
adrĕch,họ
adrĕch sơdang,dân tộc sê đăng
adrĕng,chiên
adrĕng,rán
adrĕnh,chiên
adrĭh,tươi
adrĭh,tươi sống
adrĭth,tươi
adrŭ,xóc
adrŭng,họ
jăl,kỷ
adrơ,xốc
adrơ ̆,xốc
adrơ`m,để
adrơ̆,xốc
adrơ̆m,để
adrơ̆m,để cho
lăng,kỷ
sơnăm,kỷ
adrỡm,để cho
adâng,tốt
tơmam,kỷ
tơman,kỷ
apĕch,kỳ cọ
hơpĕch,kỳ cọ
ah,dạ
jrôt,kỳ cọ
ahrĕi,đại
lơ li ̆,kỳ cọ
ahrẽi,đại
tơkot,kỳ đà
mơkuôi,kỳ nhông
ai,kệ
mơkue ̆ i,kỳ nhông
mơkuĕi,kỳ nhông
ai,thường
ai,tốt
ak,con quạ
ak,qụa
ake,cái sừng
bơlit,kỷ niệm
ake krŭ,sừng bò tót
ake mĭm,sừng tê giác
ake rơ mo,sừng bò
ako,cái cổ
bơlêk,kỷ niệm
ako`m,lại
ako`m,đòan tụ
pơlêt,kỷ niệm
akoh,sáp
lăng jâng ti,kỷ niệm
kơ kach,kỹ thuật
akon,họp
l,l
bich,lá
bích,lá
akâu,dưỡng
akâu,mạnh
akâu,sinh
akâu,thề
akôih,cao
akôih,cạo
akôih sõk hang,cạo râu
akôih sŏk hang,cạo râu
akôih sŏk kang,cạo râu
hla,lá
hla 'long,lá
akăn,cái
hốt,lá
akŏm,lại
akŏm,tập trung
akŏm,tụ
akŏm,đoàn tụ
hởt,lá
tơglỡk tơglăk,lá
akŏu,dục
tơhrẽch,lá
akŏu,mình
hlah,lá
tar,lá
hla kơ,lá cờ
bla,lá lách
kop,lá lách
kơng,lá lách
kơ ̆ ng,lá lách
akơn bơ tho,bục giảng
alah,lười
alal,sáo
kơ̆ng,lá lách
alal,ồng sáo
khă,lạch
aleh,dính
lân,lân
along,cay
along,cái
'măng,lần
along,cụt
chă,lần
along,giả
plech,lần
'măng,lần
along,lồ
minh măng,lần
along,nhẹ
mă,lần
măng,lần
along,thảo
rim,lần
along 'bơm,bơm
along b`ơm,bơm
along blang,cây bông gòn
along bơ o,lồ ô
along bơm,bơm
along caphê,cây cà phê
along che,thoi
'bơm,lang
bơbrŏk,lang
dăng,lang
along chơ choh,cái thớt
along drih,đa
dơnơ̆ng,lang
ngu,lang
ngê̆,lang
ngô,lang
nuôk,lang
along ke re`k,ke
along ke rĕk,ke
along khir,cào
along kpail,cây bông gòn
along kơtonh,cây dương xỉ
along pơ,cây lồ ô
along pơle,le
along rao đah,mầm cây
'dăng,lang
along trang,lau
along tơ gyĕr,cây sao
along vai brai,khung cửi
dơt,lang
along ƀơ o,lồ ô
alongrê,cây nghiêg
rah,lang
alâng,bổ
alâng,hoà
yoăn,lang
alâng,lộng
alâng,mẫm
alâng,nguy
alâng,nhị
yuăn,lang
'bơ̆k,lang
bơ̆k,lang
alâng,tốt
alâng,từ
alâng,xinh
alâng,đẹp
alâng akâu,bổ
alâng ro ̆,lộng lẫy
lei,làng
alô,cái loa
lơ̆i,làng
pơla,làng
alăk bŏu khôi,rượu khê
alăng,đẹp
alŏ,lớn
pơlei,làng
alơ,cẩn
pơlĕi,làng
alơ̆ng,sủa
alơ̆ng,tốt
alơ̆ng,đẹp
pla,làng
alơ̆p,non
pŏla,làng
alơ̆p,trẻ
pơle ̆ i,làng
alỡng,sủa
alỡp,trẻ
am,bá
ama,phải
ama,trái
amach,thỉu
amaih,muốn
ame,nấng
ame,đút
ame ăn oh sa,cho em ăn
ameh,buồn
ameh,ham
ameh,khao
ameh,ngồ
ameh,thuận
ameh,thích
ameh,vọng
pơlẽi,làng
ami,cơn mưa
plĕi,làng
lah,lăng
nhŏr,lăng
trol,lăng
trŏl,lăng
ami`n,ăm
truôl,lăng
amin,ăm
amin,ắm
amin,ẳm
amin,ẵm
amlaih,hối hận
amlaih,tiếc
amlaih,tiếc lắm
amon,lóc
among,trả nợ
amonh,bện
amonh,trả nợ
tơ jê ̆,láng giềng
amră,con công
klanh,lăng quăng
amrĕ,ơt
amrĕak,ớt quạ
amrĕkok,ớt trắng
chôk,lang trắng
amâm,ngậm
kơkŏr,lăng xăng
amãn,cất
amãn tơ mam,cất của
amê`,bẩn
amêm,mến
hlŏng,lanh
amêm,yêu
amêm kơ eng,yêu mến
amên kơ eng,yêu mến
amê̆,bẩn
amê̆,dơ
amê̆,dơ bẩn
hơ,lanh
amê̆,ô nhiễm
amông,dễ
amônh,dễ
amônh,dễ chết
amăn,cất
amăn,cất của
amăn,dành
amăn,tha
amăn,đặt
amăn,để dành
hơbal,lanh
amăn tơ mam,cất của
tơmũp,lãnh đạm
amăng,bất
amăng,bắt
tơnũl,lãnh đạo
amăng,lập
kơdră,lãnh đạo
amăng,thoảng
pơgơ ̆ r,lãnh đạo
pơgơ̆r,lãnh đạo
pơgơl,lãnh đạo
amăng mơ̆t,cửa ra vào
amĕh,thích
amĭn,ăm
pơlgơl,lãnh đạo
amơn,với
amơn kng,với
amơng,làm ngơ
amơng,lìm
amơ̆i,đã
lao,lão
amể`,bẩn
amễ,dơ
amễ,dơ bẩn
amễ`,bẩn
an,cho
an,hối
an,yên
kuli,lao công
an,đãi
an kơ anhŏng,cho anh
an kơ oh,cho em
jang đe ̆ch,lao dịch
anam,chuỗi hạt
anao,ngoặt
anap,khởi
anar blŭng,ngày khai mạc
anau,mới
anau tơđah,mới nảy mầm
ane,ăn
ang,hán
ang,luận
jang,lao động
ang,vang
ang,ánăsáng
angam,ngọt
angie`o,bồ hóng
angie`o,trái
angiĕo,bồ hóng
angiĕo,trái
angiĕo di angiĕo trong tơyơ,trái
pơm,lao động
angiĕu,trái
kơ như̆,lầu
kơ'như̆,lầu
angok,óc
angok sem brih,não thú
anguaih,dọn sạch
kơnhư̆,lầu
anguaih,sạch
tăl,lầu
angôch,trọc
angơn,ngẩng
angơn,vươn
angơn ako ̆ u,vươn mình
anhang,lừng
anhanh,lảo
anhao,rửa
tăl kơnhư̆,lầu
rơpal tơ̆ng,lầu
tâng,lầu
tơ̆ng,lầu
anheng,thèm
hnam đuôĭ,lầu
anhie ̆t đah,cỏ mọc
'nhông,lầy
anhik,cái
anhik,cái cuốc
pơpiơk,lầy
anhik rơ uơ,cái cày
anhip,nhắm mắt
rơ'ngiỡk,lầy
rơ'nhổk,lầy
hlŭt,lầy
'nau,lẽ
anho`ng alâng ako`u,đẹp trai
anho`ng bôl buăl,anh bạn
goi,lẽ
iĕ,lẽ
anho`t,canh
hreh,lẽ
kơnhŏng,lẽ
năng,lẽ
anhot,canh
bơgrong,lễ
diăng,lễ
et,lễ
giăng,lễ
giĕng,lễ
lê,lễ
anhrong,đoạn cây
anhrong,đọan cây
anhrât,ngừng
anhrŏng,đoạn cây
anhrơng,ngập
pơ,lễ
tŭk,lễ
anhê̆,dễ khóc
anhõt,canh
anhĕm,thị
khei,lễ
anhĕng,tị
anhĕo,nheo
anhĕp,khinh
tơ̆h,lễ
anhĕu,nhó
nar,lễ
vĭch,lễ
anhŏng alâng akŏu,đẹp trai
anhŏng bôl buăl,anh bạn
'blơ̆n,lệ
juăt,lệ
yua,lệ
đak măt,lệ
anhŏng oh pôm mĕ 'bă,anh em ruột
anhŏng oh pôm mĕ bă,anh em ruột
anhŏng oh pôm yă 'bŏk,anh em họ
pơxit,lễ hỏi
anhŏng oh pôm yă bŏk,anh em họ
pơxĭt,lễ hỏi
anhŏt,canh
hơkơ̆t,lễ hỏi
anhŭ,chua
paxka,lễ phục sinh
anhơr,đờ
anhẽng,tị
anhẽp,khinh
ploh tơ 'yung,lệnh
athe ̆i,lệnh
anih,kết
athĕi,lệnh
nơ ̆ r athe ̆ i,lệnh
nơ̆r athĕi,lệnh
tơdrong,lệnh
ploh tơ yung,lệnh
kưt,lều
pơxu ̆n,lều
pơxŭn,lều
anih,thường
anih,trú
kang kưt,lều
anih amăn atõu,tha
kang kưt ,lều
anih jang,nơi làm việc
anih khăm lãng jĭ,phòng y tế
anih khăm lăng jĭ,phòng y tế
anih kơdră,chỗ lãnh đạo
anih kơdră bơtho pơjing,bộ giáo dục
anih kơjung,chỗ cao cấp
anih lăm trôm kông,hầm mỏ
hnhei,lí
lich,lịch
gơh,lịch
anih tơm joh suang,sở văn hoá
hla ar li ̆ ch,lịch
anih wĕi tơdrong bơtho,phòng giáo dục đào tạo
hla ar lĭch,lịch
ngôi,lịch
anoh,kia
anoh,nó
anoh,tự hào
anoh,đo
anoh,đây
anoh,đó
anoh,đó đây
anoh,đấy
anoh,ấy
sơ̆,lịch
anonh,bện
liêch,lịch
tơguêm,lịch
anu,đứa
anu`ng,bọc
anu`ng,gói
tơră,lịch sử
sơ ̆  ki,lịch sử
sơ ̆ ki,lịch sử
uĕ,liềm
anõu,đây
ană,mừng
vĕ,liềm
ană,sôi
ană,sướng
ană,vui
anăk,cứng
anăn,bí
wăng,liềm
wĕ,liềm
keo,liềm
anăn măt,họ và tên
kô,liềm
rô,liềm
jơnu ̆m bal,liên hợp
anăng,lốì
anăng,tưới
anăp,trước
liên nganh,liên ngành
ple ̆i nâr pơma tơ til,liên từ
plĕi nâr pơma tơ til,liên từ
chơneng,liếp
anăr,hoàng
tơnăr,liếp
anăr,hậu
'long dơnăng,lim
dơnăng,lim
anăr,ngả
anăr,thực
gling,lim
kơkuh,lim
anăr,đẹp
anăr brĕi,ngày hôm qua
tip,lim
ttf'nhäk,lim
anăr kơxơ ̆,xế chiều
anăr kơxơ̆,trời xế chiều
anăr lĕch,mặt trời mọc
ttfnhäk,lim
tẽp,lim
anĕ,đừng
anĕbơhle,đừng nghịch
anĭh ngôi kơpal rôih,bành voi
anŏu,mới
anŏu,đây
anŭng,bọc
anŭng,gói
anơ̆k,sặc
pă hơ dơ ̆r,lim
anẽ,đừng
anỡk,sặc
pă hơ dơ̆r,lim
ao,vạt áo
linh,lính
ao do dui ti tai,áo thun tay dài
ao dơ dui ti tai,áo thun tay dài
ao hơ tar,áo lửng
ao hơayuih djơ djih,áo ướt đẫm
lĭnh,lính
bơhngol,linh hồn
ao ti kơ jung,áo dài tay
ao ti kơ đĕh,áo ngắn tay
ao tăr,áo mi ô
bơhol,linh hồn
ap,khổ
ap,luộc
ap,áp
pơ'nghol,linh hồn
pơhngol,linh hồn
apah,trả công
apah jang,trả công làm
api`nh,hỏi xin
api`nh,xuất
api`nh,đòi
apo,mê
ai,linh hồn
bok pơ tho,linh mục
tơdrong,lĩnh vực
rơ,lò
apôm,trụ
apôm,ưòn
apăng,thẳng
rơdai,lò
apĭnh,hỏi xin
apĭnh,nghị
apĭnh,xin
apĭnh,xuất
apĭnh,đòi
thơ,lò
along,lò
apơi,nguyện
chot,lò
ar,minh
ar,sắc
ar,xôn
areh,khinh bỉ
areh,thù
areng,con cua
areng,cua
hơnih,lò
pơgâu,lò
lo,lò
arih,sinh
blô,lô
lô,lô
ƀlô,lô
mơhiưch,lơ
arih minh hơnih,định cư
arih mĭnh hơnih,định cư
alơ̆ng,lơ
alỡng,lơ
hui,lơ
arăk,tẻ
arăng,cứng cáp
arăng,cứng đơ
arăng,khoẻ
kơplah,lơ
arăng,ráo
arăng,tẻ
at,cái ách
at,ngột ngạt
at kơ por,nhịn đói
ataih,hẻo lánh
ataih kơ hnam,xa nhà
ate,bột nấu thịt
chuơm,lọ
athe`i,bảo
athĕi,bảo
athĕi,hãy
athĕi,khuyên
chơmô̆i,lọ
athẽi,khuyên
ato ̆ k kơjung,nâng cao
ato ̆ k lăm gre,lên xe
atop,bó
atrăp,nặng
atâng brai,khung dệt vải
gơ'mô̆i,lọ
atõk,đưa lên
kơchuơm,lọ
ată,gửi
ată,nhắn
pơdrang,lọ
atŏ,bằng
atŏk,lên
atŏk,nâng
atŏk,đưa lên
atŏk lăm gre,lên xe
ge ̆l,lọ
atŏng plĕi along,cuống quả
get,lọ
gĕl,lọ
axeh,con ngựa
gẽl,lọ
chai,lọ
axi,kêu
trôm muh,lỗ mũi
hơ nih tơ têm,lò rèn
rơdai,lò rèn
axong,ban phát
axong,chia
axong,cho
axxong pơm 'bar,chia đôi
axxong pơm b`ar,chia đôi
axêng,cái nong
axêng,nong
axĕ,xanh
ayel lơ lĭa,láng
anih hnam jang hơjơ̆m pơset,lò rèn
hnih hơ jơ̆m,lò rèn
ayo`k,lấy
ayoi,tịch
ayu`,chua
ayuh,bốc hơi
hơnih hơ jơ̆m,lò rèn
trôm đon,lỗ tai
'nhip,loa
la,loa
phŭch,loa
ayăt,xâm
ayĕ,teo
loa,loa
gơgrang,loại
ayŏk,lấy
ayŭ,chanh
ayŭ,chua
loai,loại
rơrăng,loại
ayŭ lĕk kĕk,chua loét
ayơ̆m,dịu
ayơ̆m,hiền
ayồk,lấy
ayỡm,hiền
b`a,ba
bơngai,loại
agăm,loạn luân
b`a,lua
agăm anho ̆ ng oh,loạn luân
b`a kon dro` nglo        alơ`p,bố cu
b`a kon dro` nglo alơ`p,bố cu
b`ah,hẹp
agăm anhŏng oh,loạn luân
huơ̆r,lốc
huỡr,lốc
phu ̆t,lốc
b`ang,thiếu
phŭt,lốc
b`ao,cái bao
b`ar,hai
b`e,be
b`e`nh,đầy
b`et,chích
b`et,đâm
b`et kơ pô,đâm trâu
brỗ dổng,lối
hơlôh,lối
b`i,bao bố
plơi,lối
b`iau,sạch
b`iau,trơn
trong,lối
anăng,lối
b`iên chi sổ` gre,biển số xe
b`iên chih anăn măt,biển tên
b`iưch hơku`ng,bìu
b`iưch sơkủng,bìu
jrok,lối
b`lang,gòng
b`lep,đúng
b`lep,đắc
b`lik,kịt
b`lo`k,hững
b`lo`k,nhớ
b`lõk,ngờ
b`lõk,đoái
b`lẽp,hảo
b`lẽp,khăng
glăi,lỗi
b`oh,muoi
b`oh,muôi
b`ok,bù
yo,lỗi
b`ot,đeo
'bỡl,lời
b`ro,khan tiếng
b`roih,khô khan
lơi,lời
ăn,lời
nâr,lời
nơr,lời
b`rê,đỏ
b`rê,đỏ lòm
b`rê b`r u`ng,đỏ rực
b`rông,đỏ
nơ̆r,lời
'bơ̆l,lời
b`u` bơngai lôch,an táng
bơ̆l,lời
b`um,đậu
lơi,lợi
b`uông,cái thìa
b`âr,ba
hơbĕch,lợi
b`âr,khan
b`âr,vẹt
b`âu,hôi
lin,lợi
yua,lợi
alưng,lợi
b`ôh,thấy
lơ̆i,lợi
b`ônh,cả
b`ônh,dễ
b`õu,giác
b`õu,hôi
b`ă,ba
tơnhôi,lỗi hẹn
hơpluch,lời lãi
b`ăk,đeo
b`ăk tơnam,đeo hạt cườn
b`ơ,không
b`ơ`l,bùi
b`ơm,bơm
b`ơm,bị
b`ẽng,đánh
b`ẽnh,đầy
gơlong,lon
ba,ba
ba,dần
ba,dẫn
ba,dẫn đường
ba,hiến
ba,huy
ba,lấy
ba,răn
tơbŏl,lon
ba,theo
ba,truyền
nhung,lợn
ba,đưa
ba,đần
ba akŏu,hiến
nhŭng,lợn
ba mơh atâu,đưa cơm nguời chết
ba mơh atâu,đưa cơm người chết
ba por atâu,đưa cơm nguôi chết
ba por atâu,đưa cơm người chết
ba pơ yan,vụ mùa
babơ ̆ t jên,xài tiền
babơ ̆t,xài
babơ̆t,xài
babỡt,xài
nhũng,lợn
bah,hạ
bah,thoa
bahnar,bahnar
‘nhung,lợn
bai,cái sọt
chơke,lợn rừng
sơke,lợn rừng
apăng,lóng
bak,trắng
bal,hợp
bal,léo
hnha,lóng
bang,rõ
bang,rõr
hơdăn,lóng
bang,đậm
banh pơdăr,quay
bao,cái bao
hơpăng,lóng
bar,nhì
hơwan,lóng
bar jĭt,hai mươi sáu
bar jĭt mônh,hai mốt
be,be
bech,lẹ
beh,thân quen
bei,cải
bek,béo tốt
chơche,lóng
bek tơ pă,béo thật
bek đak toh alâng,bụ sữa
păng,lóng
bet,chích
bet,tiêm
bet,đâm thọc
bet kơ pô,đâm trâu
bey,cải
bơnôh,lòng
gĕl,lòng
bi,bao bố
kiêl,lòng
bi,bì
bi,tàn nhang
bi ̆ ch cheng,nằm nghiêng
bi ̆ ch kơ 'mu ̆ brum,nằm úp
bi ̆ ch tep,nằm ngu ̆
bi ̆ ch tơ giăng,nằm lăn lóc
bi ̆ ch tơ glăng,nằm lăn tròn
bi ̆ ch đang,nằm ngửa
nhơ,lòng
nêp,lòng
biao,mựơt
biao,sạch
biao,sạch trơn
biao,vắt
rôi,lòng
têt,lòng
bih,con rắn
tơ̆k bơ̆k,lòng
blŏ,lòng
jơhngâm,lòng
binh,ăc
jơhngơ̆m,lòng
bioh,đánh võ
biong,cái thùng
jơhngỡm,lòng
bip hơ kăn,vịt mái
bip tơ mông,vịt trống
klak,lòng
biên chi sô̆ gre,biển số xe
biên chih anăn măt,biển tên
biông,cái thùng
kơđon,lòng
biơu,trông rỗng
biơu,trống rỗng
nuih,lòng
biơ̆,một ít
biưch hơkŭng,bìu
bla,ạt
pơhrat,lòng
rơngơp,lòng
blah,bổ
blah,chiếc
blah,chẻ
blah,mổ
tơdu,lòng
blah,phá vỡ
blah,xâm
blah,xẻ
blah,đánh
blah,đấu
blah along u`nh,bổ củi
blah along ŭnh,bổ củi
blah aya ̆ t,đánh giặc
blah rơ mo,mổ bò
blai,ăm ắp
blai,ảm ắp
blak,cúc
blak,cúc áo
đon,lòng
blang,nở
blang pơ kau,nở hoa
blei kơ bă,chửi cha
blek,bực
blek,liếc
blek,ngoái
blek,nhìn
blep,chính xác
gĕi,lòng
blep,vừa
blep,đúng
blep,đắc
blep kơ đon,vừa ý
lui,lòng
blo,trái blo
blo ̆ ng ble ̆nh,lỏng lẻo
bloh,lam
blop,vừa vặn
blu,bẹn
blu,xông
arăng,lông
gơxor,lông
klak,lông
bluh,mọc
bluh,mọc mầm
bluh,đâm chồi
blung,phát
kơxor,lông
blêt,loá sáng
blê̆,xớt
sŏk,lông
sơ̆k,lông
blôk,sôi
blông,bùng
blông,nói khoác
blăh,chẻ
blăh,tranh
blăh 'long,xẻ
xŏk,lông
blĕch,léo
blĕi,chửi
blĕi kơ bă,chửi cha
blĕk,bực
blĕk,giận
blĕk,hận
blĕk,lên cơn tức
blĕk,tức
blĕnh,lẻo
blĕp,khăng
blĭk,ngát
xŏk xop,lông
blŏk,nhớ
blŏk,tưỏng
blŏk,tưởng
xơ̆k,lông
blŏk,đoái
blŏk kơ 'bă,nhớ cha
blŏk kơ bă,nhớ cha
blŏk kơ mĕ,nhớ mẹ
blŏk ling lang,ơn
blŏng,lỏng
blŭh,nảy mầm
blŭk,sùng
blŭk,sục
xơ̆kxop,lông
ie`r,lông
blŭng,tiêu
blŭng,tiến vào
blŭng,xông vào
iĕr,lông
blơ,nản
blơ,tham
blơ,óng
blơ ̆,lật
blơ ̆ ble ̆ch,lắt léo
blơch,ngậy
blơ̆,lật
blơ̆,lắt
pơnăn,lông
blư,bỗng nhiên
blư,đột nhiên
blư,ồ
blưnhip,lấp bóng
blưnhĭp,lấp bóng
sok,lông
sok sop,lông
bo`k,đục
sõk,lông
bo`ng,đực
sŏk sop,lông
hơ'nhơp,lông lá
bok,bù
tơ'nhơp,lông lá
tơ'nhưp,lông lá
so ̆ k sop tơ hăng,lông măng
sŏk sop tơ 'băng,lông măng
sŏk sop tơ hăng,lông măng
sŏk sop tơ ƀăng,lông măng
tơ̆k bơ̆k krong,lòng sông
kiêl krong ,lòng sông
kơjoi,lòng thòng
ông,lòng thòng
bok pơjŏu,thầy phù thủy
tơdŭng,lòng thòng
kơnơl,lòng trắng
bon,phiền
jĕl,lớp
